threshold,precision,recall,f1,tp,fp,fn
0.00,0.2000,1.0000,0.3333,60,240,0
0.01,0.6122,1.0000,0.7595,60,38,0
0.02,0.6122,1.0000,0.7595,60,38,0
0.03,0.6122,1.0000,0.7595,60,38,0
0.04,0.6122,1.0000,0.7595,60,38,0
0.05,0.6122,1.0000,0.7595,60,38,0
0.06,0.6122,1.0000,0.7595,60,38,0
0.07,0.6122,1.0000,0.7595,60,38,0
0.08,0.6122,1.0000,0.7595,60,38,0
0.09,0.6122,1.0000,0.7595,60,38,0
0.10,0.6122,1.0000,0.7595,60,38,0
0.11,0.6122,1.0000,0.7595,60,38,0
0.12,0.6122,1.0000,0.7595,60,38,0
0.13,0.6122,1.0000,0.7595,60,38,0
0.14,0.6186,1.0000,0.7643,60,37,0
0.15,0.6186,1.0000,0.7643,60,37,0
0.16,0.6186,1.0000,0.7643,60,37,0
0.17,0.6186,1.0000,0.7643,60,37,0
0.18,0.6186,1.0000,0.7643,60,37,0
0.19,0.6250,1.0000,0.7692,60,36,0
0.20,0.6250,1.0000,0.7692,60,36,0
0.21,0.6250,1.0000,0.7692,60,36,0
0.22,0.6250,1.0000,0.7692,60,36,0
0.23,0.6250,1.0000,0.7692,60,36,0
0.24,0.6250,1.0000,0.7692,60,36,0
0.25,0.6250,1.0000,0.7692,60,36,0
0.26,0.6250,1.0000,0.7692,60,36,0
0.27,0.6316,1.0000,0.7742,60,35,0
0.28,0.6316,1.0000,0.7742,60,35,0
0.29,0.6316,1.0000,0.7742,60,35,0
0.30,0.6316,1.0000,0.7742,60,35,0
0.31,0.6316,1.0000,0.7742,60,35,0
0.32,0.6316,1.0000,0.7742,60,35,0
0.33,0.6316,1.0000,0.7742,60,35,0
0.34,0.6316,1.0000,0.7742,60,35,0
0.35,0.6316,1.0000,0.7742,60,35,0
0.36,0.6316,1.0000,0.7742,60,35,0
0.37,0.6316,1.0000,0.7742,60,35,0
0.38,0.6316,1.0000,0.7742,60,35,0
0.39,0.6316,1.0000,0.7742,60,35,0
0.40,0.6316,1.0000,0.7742,60,35,0
0.41,0.6316,1.0000,0.7742,60,35,0
0.42,0.6316,1.0000,0.7742,60,35,0
0.43,0.6316,1.0000,0.7742,60,35,0
0.44,0.6316,1.0000,0.7742,60,35,0
0.45,0.6316,1.0000,0.7742,60,35,0
0.46,0.6316,1.0000,0.7742,60,35,0
0.47,0.6316,1.0000,0.7742,60,35,0
0.48,0.6316,1.0000,0.7742,60,35,0
0.49,0.6316,1.0000,0.7742,60,35,0
0.50,0.6316,1.0000,0.7742,60,35,0
0.51,0.6316,1.0000,0.7742,60,35,0
0.52,0.6316,1.0000,0.7742,60,35,0
0.53,0.6316,1.0000,0.7742,60,35,0
0.54,0.6316,1.0000,0.7742,60,35,0
0.55,0.6316,1.0000,0.7742,60,35,0
0.56,0.6316,1.0000,0.7742,60,35,0
0.57,0.6316,1.0000,0.7742,60,35,0
0.58,0.6316,1.0000,0.7742,60,35,0
0.59,0.6316,1.0000,0.7742,60,35,0
0.60,0.6316,1.0000,0.7742,60,35,0
0.61,0.6316,1.0000,0.7742,60,35,0
0.62,0.6316,1.0000,0.7742,60,35,0
0.63,0.6316,1.0000,0.7742,60,35,0
0.64,0.6316,1.0000,0.7742,60,35,0
0.65,0.6316,1.0000,0.7742,60,35,0
0.66,0.6316,1.0000,0.7742,60,35,0
0.67,0.6316,1.0000,0.7742,60,35,0
0.68,0.6316,1.0000,0.7742,60,35,0
0.69,0.6316,1.0000,0.7742,60,35,0
0.70,0.6316,1.0000,0.7742,60,35,0
0.71,0.6316,1.0000,0.7742,60,35,0
0.72,0.6316,1.0000,0.7742,60,35,0
0.73,0.6316,1.0000,0.7742,60,35,0
0.74,0.6316,1.0000,0.7742,60,35,0
0.75,0.6316,1.0000,0.7742,60,35,0
0.76,0.6316,1.0000,0.7742,60,35,0
0.77,0.6316,1.0000,0.7742,60,35,0
0.78,0.6316,1.0000,0.7742,60,35,0
0.79,0.6316,1.0000,0.7742,60,35,0
0.80,0.6316,1.0000,0.7742,60,35,0
0.81,0.6316,1.0000,0.7742,60,35,0
0.82,0.6316,1.0000,0.7742,60,35,0
0.83,0.6316,1.0000,0.7742,60,35,0
0.84,0.6316,1.0000,0.7742,60,35,0
0.85,0.6316,1.0000,0.7742,60,35,0
0.86,1.0000,0.7667,0.8679,46,0,14
0.87,1.0000,0.7667,0.8679,46,0,14
0.88,1.0000,0.7667,0.8679,46,0,14
0.89,1.0000,0.7667,0.8679,46,0,14
0.90,1.0000,0.7667,0.8679,46,0,14
0.91,1.0000,0.7667,0.8679,46,0,14
0.92,1.0000,0.7667,0.8679,46,0,14
0.93,1.0000,0.7667,0.8679,46,0,14
0.94,1.0000,0.7667,0.8679,46,0,14
0.95,1.0000,0.7667,0.8679,46,0,14
0.96,1.0000,0.7500,0.8571,45,0,15
0.97,1.0000,0.7500,0.8571,45,0,15
0.98,1.0000,0.7500,0.8571,45,0,15
0.99,1.0000,0.7500,0.8571,45,0,15
1.00,1.0000,0.2833,0.4416,17,0,43
