threshold,precision,recall,f1,tp,fp,fn
0.00,0.2000,1.0000,0.3333,60,240,0
0.01,0.6122,1.0000,0.7595,60,38,0
0.02,0.6122,1.0000,0.7595,60,38,0
0.03,0.6122,1.0000,0.7595,60,38,0
0.04,0.6122,1.0000,0.7595,60,38,0
0.05,0.6122,1.0000,0.7595,60,38,0
0.06,0.6122,1.0000,0.7595,60,38,0
0.07,0.6122,1.0000,0.7595,60,38,0
0.08,0.6122,1.0000,0.7595,60,38,0
0.09,0.6122,1.0000,0.7595,60,38,0
0.10,0.6122,1.0000,0.7595,60,38,0
0.11,0.6122,1.0000,0.7595,60,38,0
0.12,0.6122,1.0000,0.7595,60,38,0
0.13,0.6122,1.0000,0.7595,60,38,0
0.14,0.6122,1.0000,0.7595,60,38,0
0.15,0.6122,1.0000,0.7595,60,38,0
0.16,0.6186,1.0000,0.7643,60,37,0
0.17,0.6146,0.9833,0.7564,59,37,1
0.18,0.6146,0.9833,0.7564,59,37,1
0.19,0.6146,0.9833,0.7564,59,37,1
0.20,0.6146,0.9833,0.7564,59,37,1
0.21,0.6146,0.9833,0.7564,59,37,1
0.22,0.6211,0.9833,0.7613,59,36,1
0.23,0.6211,0.9833,0.7613,59,36,1
0.24,0.6211,0.9833,0.7613,59,36,1
0.25,0.6211,0.9833,0.7613,59,36,1
0.26,0.6211,0.9833,0.7613,59,36,1
0.27,0.6211,0.9833,0.7613,59,36,1
0.28,0.6211,0.9833,0.7613,59,36,1
0.29,0.6211,0.9833,0.7613,59,36,1
0.30,0.6211,0.9833,0.7613,59,36,1
0.31,0.6277,0.9833,0.7662,59,35,1
0.32,0.6277,0.9833,0.7662,59,35,1
0.33,0.6277,0.9833,0.7662,59,35,1
0.34,0.6277,0.9833,0.7662,59,35,1
0.35,0.6277,0.9833,0.7662,59,35,1
0.36,0.6277,0.9833,0.7662,59,35,1
0.37,0.6277,0.9833,0.7662,59,35,1
0.38,0.6277,0.9833,0.7662,59,35,1
0.39,0.6277,0.9833,0.7662,59,35,1
0.40,0.6277,0.9833,0.7662,59,35,1
0.41,0.6277,0.9833,0.7662,59,35,1
0.42,0.6277,0.9833,0.7662,59,35,1
0.43,0.6277,0.9833,0.7662,59,35,1
0.44,0.6277,0.9833,0.7662,59,35,1
0.45,0.6277,0.9833,0.7662,59,35,1
0.46,0.6277,0.9833,0.7662,59,35,1
0.47,0.6277,0.9833,0.7662,59,35,1
0.48,0.6277,0.9833,0.7662,59,35,1
0.49,0.6277,0.9833,0.7662,59,35,1
0.50,0.6277,0.9833,0.7662,59,35,1
0.51,0.6277,0.9833,0.7662,59,35,1
0.52,0.6277,0.9833,0.7662,59,35,1
0.53,0.6277,0.9833,0.7662,59,35,1
0.54,0.6277,0.9833,0.7662,59,35,1
0.55,0.6277,0.9833,0.7662,59,35,1
0.56,0.6277,0.9833,0.7662,59,35,1
0.57,0.6277,0.9833,0.7662,59,35,1
0.58,0.6277,0.9833,0.7662,59,35,1
0.59,0.6277,0.9833,0.7662,59,35,1
0.60,0.6277,0.9833,0.7662,59,35,1
0.61,0.6277,0.9833,0.7662,59,35,1
0.62,0.6277,0.9833,0.7662,59,35,1
0.63,0.6277,0.9833,0.7662,59,35,1
0.64,0.6277,0.9833,0.7662,59,35,1
0.65,0.6277,0.9833,0.7662,59,35,1
0.66,0.6277,0.9833,0.7662,59,35,1
0.67,0.6277,0.9833,0.7662,59,35,1
0.68,0.6277,0.9833,0.7662,59,35,1
0.69,0.6277,0.9833,0.7662,59,35,1
0.70,0.6277,0.9833,0.7662,59,35,1
0.71,0.6277,0.9833,0.7662,59,35,1
0.72,0.6277,0.9833,0.7662,59,35,1
0.73,0.6277,0.9833,0.7662,59,35,1
0.74,0.6277,0.9833,0.7662,59,35,1
0.75,0.6277,0.9833,0.7662,59,35,1
0.76,0.6277,0.9833,0.7662,59,35,1
0.77,0.6277,0.9833,0.7662,59,35,1
0.78,0.6277,0.9833,0.7662,59,35,1
0.79,0.6277,0.9833,0.7662,59,35,1
0.80,0.6277,0.9833,0.7662,59,35,1
0.81,0.6277,0.9833,0.7662,59,35,1
0.82,0.6277,0.9833,0.7662,59,35,1
0.83,0.6277,0.9833,0.7662,59,35,1
0.84,0.6277,0.9833,0.7662,59,35,1
0.85,0.6277,0.9833,0.7662,59,35,1
0.86,0.6277,0.9833,0.7662,59,35,1
0.87,0.6277,0.9833,0.7662,59,35,1
0.88,0.6277,0.9833,0.7662,59,35,1
0.89,0.6277,0.9833,0.7662,59,35,1
0.90,0.6277,0.9833,0.7662,59,35,1
0.91,0.6277,0.9833,0.7662,59,35,1
0.92,0.6277,0.9833,0.7662,59,35,1
0.93,0.6277,0.9833,0.7662,59,35,1
0.94,0.6277,0.9833,0.7662,59,35,1
0.95,0.6277,0.9833,0.7662,59,35,1
0.96,0.6277,0.9833,0.7662,59,35,1
0.97,0.6277,0.9833,0.7662,59,35,1
0.98,0.6277,0.9833,0.7662,59,35,1
0.99,0.6277,0.9833,0.7662,59,35,1
1.00,0.6277,0.9833,0.7662,59,35,1
