threshold,precision,recall,f1,tp,fp,fn
0.00,0.2000,1.0000,0.3333,40,160,0
0.01,0.7083,0.8500,0.7727,34,14,6
0.02,0.7234,0.8500,0.7816,34,13,6
0.03,0.7234,0.8500,0.7816,34,13,6
0.04,0.7391,0.8500,0.7907,34,12,6
0.05,0.7556,0.8500,0.8000,34,11,6
0.06,0.7727,0.8500,0.8095,34,10,6
0.07,0.8095,0.8500,0.8293,34,8,6
0.08,0.8293,0.8500,0.8395,34,7,6
0.09,0.8718,0.8500,0.8608,34,5,6
0.10,0.8947,0.8500,0.8718,34,4,6
0.11,0.9189,0.8500,0.8831,34,3,6
0.12,0.9189,0.8500,0.8831,34,3,6
0.13,0.9189,0.8500,0.8831,34,3,6
0.14,0.9189,0.8500,0.8831,34,3,6
0.15,0.9444,0.8500,0.8947,34,2,6
0.16,0.9714,0.8500,0.9067,34,1,6
0.17,0.9714,0.8500,0.9067,34,1,6
0.18,1.0000,0.8500,0.9189,34,0,6
0.19,1.0000,0.8500,0.9189,34,0,6
0.20,1.0000,0.8500,0.9189,34,0,6
0.21,1.0000,0.8500,0.9189,34,0,6
0.22,1.0000,0.8500,0.9189,34,0,6
0.23,1.0000,0.8500,0.9189,34,0,6
0.24,1.0000,0.8500,0.9189,34,0,6
0.25,1.0000,0.8500,0.9189,34,0,6
0.26,1.0000,0.8500,0.9189,34,0,6
0.27,1.0000,0.8500,0.9189,34,0,6
0.28,1.0000,0.8500,0.9189,34,0,6
0.29,1.0000,0.8500,0.9189,34,0,6
0.30,1.0000,0.8500,0.9189,34,0,6
0.31,1.0000,0.8500,0.9189,34,0,6
0.32,1.0000,0.8500,0.9189,34,0,6
0.33,1.0000,0.8500,0.9189,34,0,6
0.34,1.0000,0.8500,0.9189,34,0,6
0.35,1.0000,0.8500,0.9189,34,0,6
0.36,1.0000,0.8500,0.9189,34,0,6
0.37,1.0000,0.8500,0.9189,34,0,6
0.38,1.0000,0.8500,0.9189,34,0,6
0.39,1.0000,0.8500,0.9189,34,0,6
0.40,1.0000,0.8500,0.9189,34,0,6
0.41,1.0000,0.8500,0.9189,34,0,6
0.42,1.0000,0.8500,0.9189,34,0,6
0.43,1.0000,0.8500,0.9189,34,0,6
0.44,1.0000,0.8500,0.9189,34,0,6
0.45,1.0000,0.8500,0.9189,34,0,6
0.46,1.0000,0.8500,0.9189,34,0,6
0.47,1.0000,0.8500,0.9189,34,0,6
0.48,1.0000,0.8500,0.9189,34,0,6
0.49,1.0000,0.8500,0.9189,34,0,6
0.50,1.0000,0.8500,0.9189,34,0,6
0.51,1.0000,0.8500,0.9189,34,0,6
0.52,1.0000,0.8500,0.9189,34,0,6
0.53,1.0000,0.8500,0.9189,34,0,6
0.54,1.0000,0.8500,0.9189,34,0,6
0.55,1.0000,0.8500,0.9189,34,0,6
0.56,1.0000,0.8500,0.9189,34,0,6
0.57,1.0000,0.8500,0.9189,34,0,6
0.58,1.0000,0.8500,0.9189,34,0,6
0.59,1.0000,0.8500,0.9189,34,0,6
0.60,1.0000,0.8500,0.9189,34,0,6
0.61,1.0000,0.8500,0.9189,34,0,6
0.62,1.0000,0.8500,0.9189,34,0,6
0.63,1.0000,0.8250,0.9041,33,0,7
0.64,1.0000,0.8250,0.9041,33,0,7
0.65,1.0000,0.8250,0.9041,33,0,7
0.66,1.0000,0.8000,0.8889,32,0,8
0.67,1.0000,0.8000,0.8889,32,0,8
0.68,1.0000,0.7500,0.8571,30,0,10
0.69,1.0000,0.7500,0.8571,30,0,10
0.70,1.0000,0.7500,0.8571,30,0,10
0.71,1.0000,0.7500,0.8571,30,0,10
0.72,1.0000,0.7500,0.8571,30,0,10
0.73,1.0000,0.7500,0.8571,30,0,10
0.74,1.0000,0.7500,0.8571,30,0,10
0.75,1.0000,0.7250,0.8406,29,0,11
0.76,1.0000,0.7250,0.8406,29,0,11
0.77,1.0000,0.6750,0.8060,27,0,13
0.78,1.0000,0.6500,0.7879,26,0,14
0.79,1.0000,0.6250,0.7692,25,0,15
0.80,1.0000,0.6000,0.7500,24,0,16
0.81,1.0000,0.5500,0.7097,22,0,18
0.82,1.0000,0.5500,0.7097,22,0,18
0.83,1.0000,0.5250,0.6885,21,0,19
0.84,1.0000,0.5000,0.6667,20,0,20
0.85,1.0000,0.4500,0.6207,18,0,22
0.86,1.0000,0.4250,0.5965,17,0,23
0.87,1.0000,0.4000,0.5714,16,0,24
0.88,1.0000,0.4000,0.5714,16,0,24
0.89,1.0000,0.3500,0.5185,14,0,26
0.90,1.0000,0.3500,0.5185,14,0,26
0.91,1.0000,0.3250,0.4906,13,0,27
0.92,1.0000,0.3250,0.4906,13,0,27
0.93,1.0000,0.3250,0.4906,13,0,27
0.94,1.0000,0.3250,0.4906,13,0,27
0.95,1.0000,0.3250,0.4906,13,0,27
0.96,1.0000,0.3250,0.4906,13,0,27
0.97,1.0000,0.3250,0.4906,13,0,27
0.98,1.0000,0.3250,0.4906,13,0,27
0.99,1.0000,0.3250,0.4906,13,0,27
1.00,1.0000,0.3250,0.4906,13,0,27
